                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.1345,                 1.1659,                 1.3465,                0.45443,                0.29059,                0.32048,                0.16752,                 1.6732,                 1.9297,                 1.7663,               0.000656,               0.000656,               0.000656
                     74,                 1.1749,                 1.2175,                 1.3906,                0.41514,                0.34197,                0.33887,                0.18304,                  1.651,                 1.8437,                 1.7372,             0.00064775,             0.00064775,             0.00064775
                     75,                 1.1411,                 1.2031,                  1.383,                0.60539,                0.32658,                0.38978,                 0.1994,                 1.6292,                 1.8713,                 1.7178,              0.0006395,              0.0006395,              0.0006395
                     76,                 1.1334,                 1.1399,                 1.3682,                0.55375,                0.31913,                0.35747,                0.17419,                 1.6702,                  1.904,                 1.7741,             0.00063125,             0.00063125,             0.00063125
                     77,                 1.1613,                 1.1901,                  1.383,                0.32688,                0.27017,                0.28382,                0.15919,                 1.6211,                 1.9062,                 1.7191,               0.000623,               0.000623,               0.000623
                     78,                 1.1865,                 1.2196,                 1.3825,                0.46801,                0.29472,                0.32101,                0.16606,                  1.614,                   1.92,                 1.7242,             0.00061475,             0.00061475,             0.00061475
                     79,                 1.1167,                 1.1476,                 1.3483,                0.44087,                0.33441,                0.29478,                 0.1511,                 1.7333,                 1.9923,                 1.7878,              0.0006065,              0.0006065,              0.0006065
                     80,                 1.1808,                 1.1552,                 1.3813,                0.49528,                0.34149,                 0.3374,                0.18306,                 1.6884,                 1.8614,                 1.7464,             0.00059825,             0.00059825,             0.00059825
                     81,                 1.1404,                 1.1427,                 1.3509,                0.43387,                0.32754,                0.30611,                0.16227,                 1.6202,                 1.8882,                 1.7437,                0.00059,                0.00059,                0.00059
                     82,                 1.1635,                 1.1853,                 1.3857,                0.37854,                 0.3683,                0.29935,                 0.1605,                 1.6562,                 2.0094,                 1.7682,             0.00058175,             0.00058175,             0.00058175
                     83,                 1.1085,                 1.1344,                 1.3364,                0.49172,                0.29118,                0.34187,                 0.1655,                 1.6366,                 1.8622,                 1.7329,              0.0005735,              0.0005735,              0.0005735
                     84,                 1.0628,                 1.0849,                 1.3159,                 0.5741,                0.37111,                0.40358,                0.17824,                 1.7101,                 1.7021,                 1.7574,             0.00056525,             0.00056525,             0.00056525
                     85,                 1.0871,                  1.093,                 1.3235,                0.38758,                0.43399,                0.35436,                 0.1773,                 1.7175,                  1.761,                 1.7559,               0.000557,               0.000557,               0.000557
                     86,                 1.1226,                  1.076,                 1.3332,                 0.4727,                0.29477,                 0.3158,                0.15849,                 1.7044,                 1.9241,                 1.7436,             0.00054875,             0.00054875,             0.00054875
                     87,                 1.1059,                 1.0928,                 1.3313,                0.42674,                0.32714,                0.33299,                0.17346,                 1.7236,                  1.927,                 1.7576,              0.0005405,              0.0005405,              0.0005405
                     88,                 1.0867,                 1.0896,                 1.3342,                0.48244,                0.32747,                0.35841,                0.18471,                 1.6851,                 1.8222,                 1.7383,             0.00053225,             0.00053225,             0.00053225
                     89,                 1.0846,                 1.0637,                 1.3101,                0.58189,                0.36949,                0.39583,                0.19021,                 1.6746,                  1.751,                 1.7544,               0.000524,               0.000524,               0.000524
                     90,                  1.068,                 1.0581,                 1.3028,                0.52379,                0.36267,                0.36551,                0.19434,                 1.6386,                 1.7821,                 1.7409,             0.00051575,             0.00051575,             0.00051575
                     91,                 1.0758,                 1.0567,                 1.3024,                 0.5321,                0.40033,                0.37531,                0.20602,                 1.6247,                 1.6907,                 1.7529,              0.0005075,              0.0005075,              0.0005075
                     92,                 1.1023,                  1.115,                 1.3276,                0.52601,                0.38312,                0.36257,                0.19298,                  1.697,                 1.8782,                 1.7678,             0.00049925,             0.00049925,             0.00049925
                     93,                 1.0595,                 1.0736,                 1.3158,                0.56426,                0.34871,                0.38468,                0.20101,                 1.6289,                 1.8796,                  1.729,               0.000491,               0.000491,               0.000491
                     94,                 1.0615,                  1.061,                 1.2938,                0.56524,                0.42644,                0.43493,                0.21355,                 1.6303,                 1.8058,                 1.7357,             0.00048275,             0.00048275,             0.00048275
                     95,                 1.0931,                 1.0863,                  1.334,                0.56802,                0.47122,                0.42207,                0.20005,                 1.6287,                 1.7669,                 1.7123,              0.0004745,              0.0004745,              0.0004745
                     96,                 1.0782,                 1.0609,                 1.3097,                0.57437,                0.43663,                0.36503,                0.18174,                 1.6572,                 1.8316,                 1.7535,             0.00046625,             0.00046625,             0.00046625
                     97,                 1.0308,                 1.0339,                 1.2862,                0.48725,                 0.3816,                0.36604,                0.18197,                 1.6441,                 1.7608,                 1.7283,               0.000458,               0.000458,               0.000458
                     98,                 1.0602,                 1.0352,                 1.2934,                0.47075,                0.47874,                0.44238,                0.19814,                 1.6531,                 1.6168,                 1.7261,             0.00044975,             0.00044975,             0.00044975
                     99,                0.99965,                0.96636,                 1.2345,                0.60471,                 0.4298,                0.44639,                0.20676,                 1.6624,                 1.6683,                 1.7393,              0.0004415,              0.0004415,              0.0004415
                    100,                 1.0019,                0.98351,                 1.2681,                0.53903,                0.45351,                0.39243,                0.19677,                 1.6686,                 1.7462,                 1.7362,             0.00043325,             0.00043325,             0.00043325
                    101,                 1.0209,                 1.0123,                 1.2785,                0.48022,                0.38721,                0.36503,                0.18797,                 1.6805,                  1.866,                 1.7761,               0.000425,               0.000425,               0.000425
                    102,                 1.0154,                0.99394,                 1.2685,                0.61953,                0.31091,                0.35659,                0.20045,                 1.5978,                 1.8823,                 1.7137,             0.00041675,             0.00041675,             0.00041675
                    103,                 1.0304,                0.97243,                  1.267,                0.48403,                0.35685,                 0.3591,                0.19261,                 1.5947,                 1.7976,                 1.7059,              0.0004085,              0.0004085,              0.0004085
                    104,                 1.0324,                0.97703,                 1.2604,                0.60311,                0.31701,                0.36367,                0.19821,                 1.6097,                 1.7234,                 1.7099,             0.00040025,             0.00040025,             0.00040025
                    105,                 1.0581,                 1.0477,                 1.2997,                0.31715,                0.39868,                0.31891,                0.17102,                 1.6849,                  1.883,                 1.7511,               0.000392,               0.000392,               0.000392
                    106,                0.98013,                0.95678,                 1.2295,                0.29873,                0.37327,                0.30111,                0.15208,                  1.675,                 1.9116,                 1.7609,             0.00038375,             0.00038375,             0.00038375
                    107,                0.98953,                0.95395,                 1.2489,                0.43863,                0.28025,                0.32017,                0.16431,                 1.6836,                 1.9781,                  1.756,              0.0003755,              0.0003755,              0.0003755
                    108,                 1.0086,                0.97885,                  1.266,                0.44302,                0.35399,                0.33548,                0.17324,                 1.6441,                 1.8308,                  1.738,             0.00036725,             0.00036725,             0.00036725
                    109,                 1.0041,                 0.9649,                 1.2733,                0.41611,                0.35631,                0.32957,                0.16912,                 1.6534,                 1.8125,                  1.748,               0.000359,               0.000359,               0.000359
                    110,                0.99776,                0.96502,                 1.2527,                0.59199,                0.29119,                0.32616,                0.17823,                 1.6957,                 1.8984,                 1.7369,             0.00035075,             0.00035075,             0.00035075
                    111,                0.98326,                0.93586,                 1.2539,                0.57303,                 0.2939,                0.32817,                0.17514,                 1.6637,                 1.8263,                 1.7448,              0.0003425,              0.0003425,              0.0003425
                    112,                 1.0075,                0.95018,                 1.2507,                0.44129,                0.35688,                0.33691,                0.17248,                 1.6367,                 1.8523,                 1.7347,             0.00033425,             0.00033425,             0.00033425
                    113,                 0.9563,                0.92807,                 1.2458,                  0.522,                 0.3096,                0.35373,                0.18203,                 1.6338,                 1.8239,                 1.7144,               0.000326,               0.000326,               0.000326
                    114,                0.94759,                0.93041,                 1.2341,                 0.5683,                0.30953,                0.31531,                0.15856,                 1.6669,                 1.8533,                 1.7681,             0.00031775,             0.00031775,             0.00031775
                    115,                 0.9548,                0.91501,                 1.2146,                0.49521,                0.35177,                0.35024,                0.16761,                 1.6551,                   1.88,                 1.7334,              0.0003095,              0.0003095,              0.0003095
                    116,                0.96908,                 0.9178,                 1.2165,                0.51234,                0.36591,                0.34337,                0.17804,                 1.6365,                 1.7993,                 1.7244,             0.00030125,             0.00030125,             0.00030125
                    117,                0.95077,                0.88992,                 1.2242,                0.49095,                0.34637,                 0.3649,                0.19004,                 1.6154,                 1.7603,                 1.6799,               0.000293,               0.000293,               0.000293
                    118,                0.92491,                 0.8844,                 1.2037,                0.34417,                0.42495,                0.37308,                0.19211,                  1.615,                 1.7716,                 1.6847,             0.00028475,             0.00028475,             0.00028475
                    119,                0.96491,                0.92737,                 1.2244,                0.35485,                0.43158,                 0.3763,                0.18568,                 1.6474,                 1.7435,                 1.7126,              0.0002765,              0.0002765,              0.0002765
                    120,                0.96966,                0.91976,                 1.2297,                0.46868,                0.43145,                0.37292,                0.18455,                 1.6421,                 1.7177,                 1.7207,             0.00026825,             0.00026825,             0.00026825
                    121,                0.91763,                0.85734,                 1.1958,                0.52319,                0.33583,                0.36469,                 0.1796,                 1.6609,                 1.7463,                 1.7156,                0.00026,                0.00026,                0.00026
                    122,                0.91779,                0.86219,                 1.1912,                0.50917,                0.37582,                0.35451,                0.16825,                 1.6532,                 1.7696,                 1.7261,             0.00025175,             0.00025175,             0.00025175
                    123,                0.93759,                0.88851,                 1.1957,                0.44717,                0.35596,                0.32876,                0.17377,                  1.644,                 1.7652,                  1.733,              0.0002435,              0.0002435,              0.0002435
                    124,                0.94324,                0.90115,                 1.1948,                0.38365,                0.38953,                0.34582,                0.17215,                 1.6577,                 1.6746,                 1.7205,             0.00023525,             0.00023525,             0.00023525
                    125,                0.92186,                  0.872,                 1.2129,                0.50295,                0.32384,                0.34809,                 0.1806,                 1.6729,                 1.7598,                 1.7101,               0.000227,               0.000227,               0.000227
                    126,                0.90846,                0.86379,                 1.2133,                0.58764,                0.30795,                0.34641,                0.18262,                 1.6677,                 1.8038,                 1.7295,             0.00021875,             0.00021875,             0.00021875
                    127,                0.89502,                0.87096,                 1.1861,                0.59441,                 0.2994,                0.33341,                0.17755,                 1.6893,                 1.8303,                 1.7856,              0.0002105,              0.0002105,              0.0002105
                    128,                0.91117,                0.84462,                 1.1946,                 0.6002,                0.28813,                0.34162,                0.18249,                 1.6706,                 1.8328,                 1.7731,             0.00020225,             0.00020225,             0.00020225
                    129,                0.90234,                0.83623,                 1.2017,                0.50471,                0.32214,                0.39303,                0.20007,                 1.6643,                  1.794,                 1.7534,               0.000194,               0.000194,               0.000194
                    130,                0.91543,                0.85159,                  1.206,                 0.5613,                0.39972,                0.40042,                0.19846,                 1.6879,                 1.7756,                 1.7635,             0.00018575,             0.00018575,             0.00018575
                    131,                 0.9103,                0.85867,                 1.2109,                0.47475,                0.34021,                0.36861,                 0.1943,                 1.6792,                 1.7613,                 1.7394,              0.0001775,              0.0001775,              0.0001775
                    132,                0.91077,                0.81865,                 1.1705,                0.56771,                0.30651,                0.37263,                0.20615,                 1.6835,                 1.7307,                 1.7563,             0.00016925,             0.00016925,             0.00016925
                    133,                0.90526,                0.89634,                 1.2076,                0.58575,                0.39014,                0.40969,                0.19762,                 1.6764,                 1.7443,                 1.7416,               0.000161,               0.000161,               0.000161
                    134,                0.88915,                0.83677,                 1.1891,                0.60611,                0.38253,                0.41427,                0.20802,                 1.6268,                 1.7312,                 1.7035,             0.00015275,             0.00015275,             0.00015275
                    135,                0.88544,                0.83397,                 1.1886,                0.60601,                0.38801,                 0.4076,                0.20895,                 1.6297,                 1.7364,                 1.7091,              0.0001445,              0.0001445,              0.0001445
                    136,                0.86689,                 0.7939,                 1.1726,                0.57125,                0.38738,                0.41092,                0.21401,                 1.6283,                 1.7048,                 1.7034,             0.00013625,             0.00013625,             0.00013625
